Date:,"Wednesday, November 22, 2023 at 11:30:16â€¯AM",,,,,,
Component Count:,29,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DigiKey
1,4,"C1, C7, C9, C11",0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,
2,4,"C2, C8, C10, C12",10uF T,Device:C_Polarized_Small_US,Capacitor_SMD:C_0805_2012Metric,~,
3,2,"C3, C5",0.0022uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,
4,2,"C4, C6",2.2uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,~,
5,1,C13,10uF,Device:C_Polarized_Small_US,Capacitor_SMD:C_0805_2012Metric,~,
6,1,D1,PWR,Device:LED,LED_SMD:LED_0805_2012Metric,~,1497-XZCDGK54W-1VFCT-ND
7,4,"FB1, FB2, FB3, FB4",HZ0805E601R,Device:FerriteBead_Small,Resistor_SMD:R_0805_2012Metric,~,240-2399-1-ND
8,1,J2,TRS_LINE_OUT,Connector_Audio:AudioJack3,Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,~,CP-3523SJCT-ND
9,2,"R1, R2",470,Device:R_Small,Resistor_SMD:R_0805_2012Metric,~,
10,1,R3,10K,Device:R_Small,Resistor_SMD:R_0805_2012Metric,~,
11,1,R4,100K,Device:R_Small,Resistor_SMD:R_0805_2012Metric,~,
12,1,U1,PCM5101A,Audio:PCM5101A,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.ti.com/lit/ds/symlink/pcm5101a.pdf,296-36706-1-ND
13,1,U2,AP2112K-3.3,Regulator_Linear:AP2112K-3.3,Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP2112.pdf,